user_id,age,home_location,dining_frequency,favorite_cuisines,preferred_price_range,dietary_restrictions,avg_rating_given,total_reviews_written
10001,42,Sharjah,Daily,"Mexican, Emirati, Mediterranean",Medium,Halal,3.3,134
10002,34,Dubai Marina,Bi-Weekly,"French, Mediterranean, Italian",Medium,None,3.57,98
10003,57,Jumeirah Lakes Towers (JLT),Weekly,"French, Chinese",Medium,Gluten-Free,3.46,7
10004,40,Palm Jumeirah,Bi-Weekly,"Emirati, Chinese",High,Vegan,4.04,23
10005,43,Abu Dhabi,Bi-Weekly,"Emirati, French",Medium,Gluten-Free,4.32,121
10006,27,Dubai Marina,Monthly,"Chinese, Mediterranean, Iranian",Medium,Keto,4.28,130
10007,42,Dubai Marina,Weekly,Thai,Medium,Halal,3.39,15
10008,49,Downtown Dubai,Bi-Weekly,"Mediterranean, Indian",Medium,Halal,3.46,143
10009,32,Palm Jumeirah,Daily,Italian,Low,Halal,3.13,134
10010,55,Jumeirah Lakes Towers (JLT),Daily,"Mexican, Mediterranean",Medium,Gluten-Free,3.76,72
10011,41,Ajman,Daily,French,Luxury,None,4.18,140
10012,55,Ajman,Weekly,"Indian, Italian",Low,Vegetarian,3.79,99
10013,47,Palm Jumeirah,Rarely,"Italian, Indian, Mexican",Medium,None,3.91,84
10014,25,Downtown Dubai,Rarely,Indian,Medium,Vegetarian,3.29,59
10015,41,Jumeirah Lakes Towers (JLT),Monthly,"Seafood, Iranian",Luxury,Keto,3.89,105
10016,50,Jumeirah Beach Residence (JBR),Weekly,"Indian, Emirati",Low,Vegan,3.99,89
10017,56,Jumeirah Lakes Towers (JLT),Rarely,"Mexican, Seafood, Emirati",High,Vegan,3.88,110
10018,37,Business Bay,Bi-Weekly,"Emirati, Mexican, Iranian",Luxury,Dairy-Free,3.51,92
10019,25,Jumeirah Lakes Towers (JLT),Monthly,"Indian, Mexican",Medium,Gluten-Free,3.19,92
10020,48,Ajman,Monthly,"Iranian, Seafood",High,Vegan,3.09,18
10021,28,Abu Dhabi,Rarely,"Iranian, Italian",Medium,Vegetarian,3.06,5
10022,34,Business Bay,Daily,"French, Mexican",High,Keto,3.78,85
10023,21,Dubai Marina,Daily,"French, Emirati",Luxury,None,4.34,72
10024,57,Abu Dhabi,Rarely,Chinese,Medium,Halal,3.39,128
10025,23,Jumeirah Lakes Towers (JLT),Rarely,Mediterranean,Low,Gluten-Free,4.06,106
10026,31,Downtown Dubai,Bi-Weekly,French,High,None,3.29,97
10027,28,Palm Jumeirah,Bi-Weekly,Mexican,Medium,Vegan,4.37,53
10028,37,Palm Jumeirah,Weekly,"Iranian, Emirati, Thai",Low,Vegetarian,3.74,91
10029,60,Ajman,Rarely,"Emirati, Iranian, Italian",Medium,Vegan,3.86,92
10030,33,Palm Jumeirah,Weekly,"Seafood, Mediterranean",Low,Vegetarian,3.33,68
