date,cuisine_type,popularity_score,avg_price,season,day_type,is_holiday,weather_impact_category,booking_lead_time_days
2023-11-19,Italian,56.51,139.02,Winter/Peak,Weekday,False,Neutral,0
2023-11-19,Chinese,69.77,176.86,Winter/Peak,Weekday,False,Neutral,1
2023-11-19,Indian,80.87,113.12,Winter/Peak,Weekday,False,Neutral,6
2023-11-19,Mexican,61.96,185.22,Winter/Peak,Weekday,False,Neutral,0
2023-11-19,French,68.17,257.61,Winter/Peak,Weekday,False,Neutral,1
2023-11-19,Thai,55.36,186.2,Winter/Peak,Weekday,False,Neutral,0
2023-11-19,Iranian,59.81,167.04,Winter/Peak,Weekday,False,Neutral,1
2023-11-19,Mediterranean,75.72,268.31,Winter/Peak,Weekday,False,Neutral,1
2023-11-19,Emirati,85.07,336.43,Winter/Peak,Weekday,False,Neutral,7
2023-11-19,Seafood,69.5,324.51,Winter/Peak,Weekday,False,Neutral,3
2023-11-20,Italian,63.68,248.16,Winter/Peak,Weekday,False,Favorable Weather,1
2023-11-20,Chinese,71.07,124.75,Winter/Peak,Weekday,False,Favorable Weather,1
2023-11-20,Indian,72.88,173.35,Winter/Peak,Weekday,False,Favorable Weather,1
2023-11-20,Mexican,67.98,168.35,Winter/Peak,Weekday,False,Favorable Weather,2
2023-11-20,French,80.12,299.34,Winter/Peak,Weekday,False,Favorable Weather,5
2023-11-20,Thai,62.04,183.76,Winter/Peak,Weekday,False,Favorable Weather,0
2023-11-20,Iranian,77.0,190.03,Winter/Peak,Weekday,False,Favorable Weather,2
2023-11-20,Mediterranean,88.5,351.21,Winter/Peak,Weekday,False,Favorable Weather,7
2023-11-20,Emirati,93.64,314.44,Winter/Peak,Weekday,False,Favorable Weather,10
2023-11-20,Seafood,85.24,237.68,Winter/Peak,Weekday,False,Favorable Weather,7
2023-11-21,Italian,84.13,122.53,Winter/Peak,Weekday,False,Favorable Weather,3
2023-11-21,Chinese,65.89,144.78,Winter/Peak,Weekday,False,Favorable Weather,3
2023-11-21,Indian,54.83,232.49,Winter/Peak,Weekday,False,Favorable Weather,1
2023-11-21,Mexican,56.67,167.01,Winter/Peak,Weekday,False,Favorable Weather,0
2023-11-21,French,76.99,233.47,Winter/Peak,Weekday,False,Favorable Weather,1
2023-11-21,Thai,58.24,227.7,Winter/Peak,Weekday,False,Favorable Weather,0
2023-11-21,Iranian,74.55,133.88,Winter/Peak,Weekday,False,Favorable Weather,3
2023-11-21,Mediterranean,60.63,208.05,Winter/Peak,Weekday,False,Favorable Weather,0
2023-11-21,Emirati,91.2,306.91,Winter/Peak,Weekday,False,Favorable Weather,10
