review_id,restaurant_id,user_id,rating,review_text,date,helpful_count
1,5,10001,2,The server was clearly untrained and had no knowledge of the menu. They couldn't answer basic questions about the ingredients. A complete waste of time and money.,2024-07-26,13
2,1,10002,3,"I appreciate the effort, but the music was far too loud for comfortable conversation. The food was standard for this price level.",2024-02-05,28
3,3,10003,3,"The ambiance was great, but the service team seemed a little disorganized tonight. We waited too long for the bill.",2025-03-24,14
4,27,10004,3,"It was a busy night, and you could feel the pressure on the staff. They did their best, but the experience suffered slightly.",2025-04-06,20
5,28,10005,4,They nailed the ambiance. It felt like a true escape from the city. Thank you to the team for the wonderful service.,2023-11-18,4
6,24,10006,2,"I found a foreign object in my food. While they apologized, the experience was ruined, and the recovery effort was minimal. Absolutely shocking. This was a terrible choice for dinner.",2025-09-17,24
7,3,10007,4,"Five stars! Consistent quality and great value for money. They clearly use high-quality ingredients, which shines through in every dish.",2024-10-04,6
8,2,10008,1,"The air conditioning was broken, making the dining room sweltering hot. We ate quickly just to escape. Unacceptable environment. A complete waste of time and money.",2025-08-24,34
9,6,10009,3,"It was okay, but the long wait for the table, despite reserving, was irritating. The appetizers were good, but the main courses were unmemorable.",2023-12-07,45
10,37,10010,3,"An average experience overall. Nothing went wrong, but nothing stood out as spectacular either. Good for a quick meal if you're in the neighborhood.",2025-02-18,43
11,6,10011,4,Highly recommend the chef's tasting menu. Each course was a discovery. The paired wines were also excellent. Highly recommended to all food lovers.,2025-03-26,0
12,31,10012,1,"The wine list was dreadful and overpriced. The food wasn't much better. This place relies on its location, not its quality. Save your money and go elsewhere.",2024-02-13,27
13,42,10013,4,"Five stars! Consistent quality and great value for money. They clearly use high-quality ingredients, which shines through in every dish. A truly exceptional establishment.",2025-09-22,35
14,17,10014,2,"I had high hopes, but they were dashed immediately by the chaotic seating and the disorganized service. Terrible value. This was a terrible choice for dinner.",2024-01-27,37
15,30,10015,2,"Highly overrated. We had two major errors in our order, and the whole experience felt like a letdown. I wouldn't recommend this place.",2023-12-01,6
16,40,10016,5,Exceptional value for the price point. The atmosphere is vibrant but still intimate. I can’t wait to bring my family here. A truly exceptional establishment.,2025-08-04,33
17,35,10017,4,"Five stars! Consistent quality and great value for money. They clearly use high-quality ingredients, which shines through in every dish. Definitely coming back for more.",2025-06-08,18
18,1,10018,5,"The setting is breathtaking. Food is always hot, fresh, and delicious. No complaints whatsoever, only praise. Looking forward to my next visit!",2024-08-23,14
19,41,10019,3,"It was okay, but the long wait for the table, despite reserving, was irritating. The appetizers were good, but the main courses were unmemorable.",2024-02-04,38
20,36,10020,5,"From the moment we walked in, we felt welcomed. The the surprising depth of flavor in the sauces stood out immediately. It’s clear they care deeply about customer experience.",2025-06-08,32
21,32,10021,2,"The food was bland and lukewarm. When we asked for it to be heated, it took forever. They clearly don't prioritize customer satisfaction.",2024-10-28,3
22,37,10022,1,"The noise level was unbearable, making conversation impossible. The the waterfront view was completely unacceptable. I will never return.",2024-06-03,15
23,26,10023,4,"Absolutely loved the dining experience. The food quality was exceptional, and the staff were incredibly attentive. I was particularly impressed with the convenient location near the metro. Highly recommend!",2023-12-22,9
24,32,10024,4,"Everything about this place screams excellence, from the service timing to the beautiful plating. The the manager's kindness was truly delightful.",2025-07-07,30
25,39,10025,1,"Extremely expensive for what felt like microwave food. The entire meal was a scam, and the staff seemed to actively avoid our table.",2025-04-27,27
26,39,10026,1,"We were deeply disappointed with the delay in service, and our main dishes arrived cold. Management handled the situation poorly, which ruined the evening.",2024-12-22,36
27,49,10027,2,"A completely chaotic and unpleasant experience. The the easy mobile payment option was completely ignored, and the serving staff seemed overwhelmed and unprofessional. Do not recommend this place to anyone.",2025-08-12,17
28,45,10028,4,"Outstanding! The preparation of the meat was flawless, and the side dishes complemented it perfectly. The attention to detail from the staff is commendable. A must-visit culinary gem.",2025-01-02,42
29,26,10029,5,A perfect lunch spot. Fast service without compromising on quality. The ingredients tasted incredibly fresh. A truly exceptional establishment.,2024-10-30,40
30,28,10030,1,"We were deeply disappointed with the delay in service, and our main dishes arrived cold. Management handled the situation poorly, which ruined the evening.",2024-12-01,3
